class_label,word,generated_wav,reference_wav,generated_mel,reference_mel,cer,cer_gt,predicted_word_generated,predicted_word_groundtruth
1,Hello!,label001_trial0003_pred_Hello.wav,audio1.wav,label001_trial0003_pred_mel.csv,audio1_logmel.csv,1.0,0.2,ARM,HELO
3,No.,label003_trial0016_pred_No.wav,audio3.wav,label003_trial0016_pred_mel.csv,audio3_logmel.csv,1.0,0.0,RP,NO
5,Tea,label005_trial0005_pred_Tea.wav,audio5.wav,label005_trial0005_pred_mel.csv,audio5_logmel.csv,1.0,0.6666666666666666,FOR,T
7,Food,label007_trial0000_pred_Food.wav,audio7.wav,label007_trial0019_pred_mel.csv,audio7_logmel.csv,0.75,0.5,FRI,FO
7,Food,label007_trial0019_pred_Food.wav,audio7.wav,label007_trial0019_pred_mel.csv,audio7_logmel.csv,1.0,0.5,TA,FO
12,Light,label012_trial0017_pred_Light.wav,audio12.wav,label012_trial0017_pred_mel.csv,audio12_logmel.csv,1.0,0.0,ROU,LIGHT
14,Head,label014_trial0021_pred_Head.wav,audio14.wav,label014_trial0022_pred_mel.csv,audio14_logmel.csv,1.0,0.5,ARK,HUD
14,Head,label014_trial0022_pred_Head.wav,audio14.wav,label014_trial0022_pred_mel.csv,audio14_logmel.csv,1.0,0.5,ARK,HUD
16,Arms,label016_trial0025_pred_Arms.wav,audio16.wav,label016_trial0025_pred_mel.csv,audio16_logmel.csv,0.25,0.25,ARM,RMS
21,Foot,label021_trial0023_pred_Foot.wav,audio21.wav,label021_trial0023_pred_mel.csv,audio21_logmel.csv,1.0,1.0,MARP,FRIGHT
22,Feet,label022_trial0009_pred_Feet.wav,audio22.wav,label022_trial0009_pred_mel.csv,audio22_logmel.csv,0.75,0.25,FAMP,FET
23,Zero,label023_trial0029_pred_Zero.wav,audio23.wav,label023_trial0031_pred_mel.csv,audio23_logmel.csv,0.75,0.75,FAR,TAROW
23,Zero,label023_trial0031_pred_Zero.wav,audio23.wav,label023_trial0031_pred_mel.csv,audio23_logmel.csv,1.0,0.75,CA,TAROW
24,One,label024_trial0024_pred_One.wav,audio24.wav,label024_trial0024_pred_mel.csv,audio24_logmel.csv,1.0,0.0,MA,ONE
26,Three,label026_trial0026_pred_Three.wav,audio26.wav,label026_trial0026_pred_mel.csv,audio26_logmel.csv,1.0,0.2,O,THRE
28,Five,label028_trial0032_pred_Five.wav,audio28.wav,label028_trial0032_pred_mel.csv,audio28_logmel.csv,1.0,0.0,RA,FIVE
30,Seven,label030_trial0015_pred_Seven.wav,audio30.wav,label030_trial0015_pred_mel.csv,audio30_logmel.csv,1.0,0.2,FROG,FEVEN
34,Stop!,label034_trial0013_pred_Stop.wav,audio34.wav,label034_trial0013_pred_mel.csv,audio34_logmel.csv,1.0,0.0,FAR,STOP
36,Before,label036_trial0001_pred_Before.wav,audio36.wav,label036_trial0001_pred_mel.csv,audio36_logmel.csv,0.6666666666666666,0.3333333333333333,UFOG,PEFOR
37,Now.,label037_trial0012_pred_Now.wav,audio37.wav,label037_trial0012_pred_mel.csv,audio37_logmel.csv,1.0,1.0,RAG,WHA
40,Today,label040_trial0006_pred_Today.wav,audio40.wav,label040_trial0007_pred_mel.csv,audio40_logmel.csv,0.8,0.0,ROW,TODAY
40,Today,label040_trial0007_pred_Today.wav,audio40.wav,label040_trial0007_pred_mel.csv,audio40_logmel.csv,0.8,0.0,A,TODAY
47,Son,label047_trial0030_pred_Son.wav,audio47.wav,label047_trial0030_pred_mel.csv,audio47_logmel.csv,1.0,0.0,FIR,SON
53,Jam,label053_trial0010_pred_Jam.wav,audio53.wav,label053_trial0018_pred_mel.csv,audio53_logmel.csv,0.6666666666666666,0.0,AR,JAM
53,Jam,label053_trial0018_pred_Jam.wav,audio53.wav,label053_trial0018_pred_mel.csv,audio53_logmel.csv,0.6666666666666666,0.0,VAB,JAM
60,How?,label060_trial0008_pred_How.wav,audio60.wav,label060_trial0008_pred_mel.csv,audio60_logmel.csv,1.0,0.0,,HOW
62,I need,label062_trial0014_pred_I_need.wav,audio62.wav,label062_trial0014_pred_mel.csv,audio62_logmel.csv,1.0,0.2,OW,I NED
65,I can t,label065_trial0027_pred_I_can_t.wav,audio65.wav,label065_trial0027_pred_mel.csv,audio65_logmel.csv,1.0,0.0,MAFARK,I CAN'T
66,Sure!,label066_trial0004_pred_Sure.wav,audio66.wav,label066_trial0011_pred_mel.csv,audio66_logmel.csv,1.0,0.0,FA,SURE
66,Sure!,label066_trial0011_pred_Sure.wav,audio66.wav,label066_trial0011_pred_mel.csv,audio66_logmel.csv,1.0,0.0,P,SURE
69,Quit,label069_trial0002_pred_Quit.wav,audio69.wav,label069_trial0028_pred_mel.csv,audio69_logmel.csv,1.0,1.0,RARK,GREGT
69,Quit,label069_trial0020_pred_Quit.wav,audio69.wav,label069_trial0028_pred_mel.csv,audio69_logmel.csv,1.0,1.0,OP,GREGT
69,Quit,label069_trial0028_pred_Quit.wav,audio69.wav,label069_trial0028_pred_mel.csv,audio69_logmel.csv,1.0,1.0,ROP,GREGT
AVG,AVG,,,,,0.912121,0.327273,,
